Date,Language,Title,Quote,Reflection Text,Reference
2025-01-01,pt-BR,EU SOU UM MILAGRE,"O fato central de nossas vidas hoje é a certeza absoluta de que nosso Criador entrou em nossos corações e vidas de uma maneira que é, de fato, milagrosa. Ele começou a realizar por nós aquelas coisas que nunca poderíamos fazer por nós mesmos.","Isso é verdadeiramente um fato em minha vida hoje, e um verdadeiro milagre. Sempre acreditei em Deus, mas nunca consegui colocar essa crença de forma significativa em minha vida. Hoje, por causa de Alcoólicos Anônimos, eu confio e dependo de Deus, como O concebo; estou sóbrio hoje por causa disso! Aprender a confiar e depender de Deus foi algo que eu nunca poderia ter feito sozinho. Agora acredito em milagres porque eu sou um!","ALCOÓLICOS ANÔNIMOS, p. 25"
2025-01-02,pt-BR,"PRIMEIRO, A FUNDAÇÃO","A sobriedade é tudo o que podemos esperar de um despertar espiritual? Não, a sobriedade é apenas um simples começo.","Praticar o programa de A.A. é como construir uma casa. Primeiro, tive que despejar uma laje de concreto grande e espessa sobre a qual erguer a casa; isso, para mim, foi o equivalente a parar de beber. Mas é muito desconfortável viver sobre uma laje de concreto, desprotegido e exposto ao calor, frio, vento e chuva. Então, construí um cômodo na laje começando a praticar o programa. O primeiro cômodo era instável porque eu não estava acostumado com o trabalho. Mas com o tempo, à medida que praticava o programa, aprendi a construir cômodos melhores. Quanto mais eu praticava e mais eu construía, mais confortável e feliz era o lar que agora tenho para viver.","NA OPINIÃO DO BILL, p. 8"
2025-01-03,pt-BR,IMPOTENTE,Admitimos que éramos impotentes perante o álcool — que nossas vidas tinham se tornado ingovernáveis.,"Não é coincidência que o primeiro Passo mencione a impotência: a admissão da impotência pessoal perante o álcool é a pedra angular da fundação da recuperação. Aprendi que não tenho o poder e o controle que um dia pensei ter. Sou impotente perante o que as pessoas pensam de mim. Sou impotente por ter acabado de perder o ônibus. Sou impotente sobre como outras pessoas trabalham (ou não) os Passos. Mas também aprendi que não sou impotente sobre algumas coisas. Não sou impotente sobre minhas atitudes. Não sou impotente sobre a negatividade. Não sou impotente sobre assumir a responsabilidade pela minha própria recuperação. Tenho o poder de exercer uma influência positiva sobre mim mesmo, meus entes queridos e o mundo em que vivo.","OS DOZE PASSOS E AS DOZE TRADIÇÕES, p. 21"
2025-01-04,pt-BR,COMECE ONDE VOCÊ ESTÁ,"Sentimos que a eliminação de nossa bebida é apenas um começo. Uma demonstração muito mais importante de nossos princípios está diante de nós em nossos respectivos lares, ocupações e negócios.","Normalmente é muito fácil para mim ser agradável com as pessoas num ambiente de A.A. Enquanto trabalho para me manter sóbrio, celebro com meus companheiros de A.A. nossa libertação comum do inferno da bebida. Muitas vezes não é tão difícil espalhar boas novas aos meus velhos e novos amigos no programa.","ALCOÓLICOS ANÔNIMOS, p. 19"
2025-01-05,pt-BR,ACEITAÇÃO TOTAL,Ele não consegue imaginar a vida sem álcool. Algum dia ele será incapaz de imaginar a vida com ou sem álcool. Então ele conhecerá uma solidão como poucos conhecem. Ele estará no ponto de partida. Ele desejará o fim.,"Só um alcoólico pode entender o significado exato de uma declaração como esta. O duplo padrão que me manteve cativo como um alcoólico ativo também me encheu de terror e confusão: 'Se eu não tomar um gole, vou morrer', competia com 'Se eu continuar a beber, isso vai me matar'. Ambos os pensamentos compulsivos me empurraram cada vez mais para o fundo do poço. Esse fundo do poço produziu uma aceitação total do meu alcoolismo — sem quaisquer reservas — e uma que foi absolutamente essencial para a minha recuperação. Foi um dilema diferente de tudo que eu já havia enfrentado, mas como descobri mais tarde, necessário para que eu tivesse sucesso neste programa.","ALCOÓLICOS ANÔNIMOS, p. 152"
2025-01-06,pt-BR,A VITÓRIA DA RENDIÇÃO,Percebemos que somente através da derrota total somos capazes de dar nossos primeiros passos em direção à libertação e à força. Nossas admissões de impotência pessoal acabam por se tornar a base firme sobre a qual vidas felizes e com propósito podem ser construídas.,"Quando o álcool influenciava todas as facetas da minha vida, quando as garrafas se tornaram o símbolo de toda a minha autoindulgência e permissividade, quando percebi que, por mim mesmo, não podia fazer nada para superar o poder do álcool, compreendi que não tinha outro recurso senão a rendição. Na rendição encontrei a vitória — vitória sobre minha autoindulgência egoísta, vitória sobre minha resistência teimosa à vida como me foi dada. Quando parei de lutar contra qualquer pessoa ou qualquer coisa, comecei o caminho para a sobriedade, serenidade e paz.","OS DOZE PASSOS E AS DOZE TRADIÇÕES, p. 21"
2025-01-07,pt-BR,NO PONTO DE VIRADA,Meias medidas de nada nos adiantaram. Estávamos no ponto de virada. Pedimos Sua proteção e cuidado com completo abandono.,"Todos os dias me encontro em pontos de virada. Meus pensamentos e ações podem me impulsionar para o crescimento ou me levar de volta ao caminho dos velhos hábitos e da bebida. Às vezes, os pontos de virada são começos, como quando decido começar a elogiar, em vez de condenar alguém. Ou quando começo a pedir ajuda em vez de seguir sozinho. Outras vezes, os pontos de virada são finais, como quando vejo claramente a necessidade de parar de alimentar ressentimentos ou autocomiseração incapacitante. Muitas falhas me tentam diariamente; portanto, também tenho oportunidades diárias de tomar consciência delas. De uma forma ou de outra, muitos dos meus defeitos de caráter aparecem diariamente: autocondenação, raiva, fuga, orgulho, desejo de vingança ou atos de grandiosidade.","ALCOÓLICOS ANÔNIMOS, p. 59"
2025-01-08,pt-BR,EU TENHO UMA ESCOLHA?,"O fato é que a maioria dos alcoólicos, por razões ainda obscuras, perdeu o poder de escolha sobre a bebida. Nossa chamada força de vontade torna-se praticamente inexistente.","Minha impotência perante o álcool não cessa quando eu paro de beber. Na sobriedade, eu ainda não tenho escolha — não posso beber.","ALCOÓLICOS ANÔNIMOS, p. 24"
2025-01-09,pt-BR,UM ATO DA PROVIDÊNCIA,"É verdadeiramente horrível admitir que, copo na mão, tenhamos distorcido nossas mentes a tal ponto numa obsessão por beber destrutivamente que somente um ato da Providência pode removê-la de nós.","Meu ato de Providência (uma manifestação do cuidado e direção divinos) veio quando experimentei a total falência do alcoolismo ativo — tudo de significativo na minha vida tinha desaparecido. Telefonei para Alcoólicos Anônimos e, a partir daquele instante, minha vida nunca mais foi a mesma. Quando reflito sobre aquele momento tão especial, sei que Deus estava trabalhando em minha vida muito antes de eu ser capaz de reconhecer e aceitar conceitos espirituais. O copo foi largado através deste único ato de Providência e minha jornada para a sobriedade começou. Minha vida continua a se desenrolar com cuidado e direção divinos. O Primeiro Passo, no qual admiti que era impotente perante o álcool, que minha vida tinha se tornado ingovernável, ganha mais significado para mim — um dia de cada vez — na Irmandade de Alcoólicos Anônimos, que salva e dá vida.","OS DOZE PASSOS E AS DOZE TRADIÇÕES, p. 21"
2025-01-10,pt-BR,UNIDOS VENCEREMOS,"Aprendemos que tínhamos que conceder plenamente a nós mesmos que éramos alcoólicos. Este é o primeiro passo na recuperação. A ilusão de que somos como outras pessoas, ou que atualmente podemos ser, tem que ser esmagada.","Eu vim para Alcoólicos Anônimos porque não conseguia mais controlar minha bebida. Foi ou pela reclamação da minha esposa sobre minha bebida, ou talvez o xerife me forçou a ir às reuniões de A.A., ou talvez eu soubesse, bem no fundo, que não conseguia beber como os outros, mas não estava disposto a admitir porque a alternativa me aterrorizava. Alcoólicos Anônimos é uma irmandade de homens e mulheres unidos contra uma doença comum e fatal. Cada uma de nossas vidas está ligada a todas as outras, muito como os sobreviventes num bote salva-vidas no mar. Se todos trabalharmos juntos, podemos chegar em segurança à costa.","ALCOÓLICOS ANÔNIMOS, p. 30"
2025-01-11,pt-BR,O PASSO 100%,"Somente o Primeiro Passo, onde admitimos 100% que éramos impotentes perante o álcool, pode ser praticado com perfeição absoluta.","Muito antes de conseguir a sobriedade em A.A., eu sabia, sem dúvida, que o álcool estava me matando, mas mesmo com esse conhecimento, fui incapaz de parar de beber. Então, quando me deparei com o Primeiro Passo, achei fácil admitir que não tinha o poder de não beber. Mas a minha vida era ingovernável? Nunca! Cinco meses depois de entrar em A.A., eu estava bebendo de novo e me perguntava por quê.","OS DOZE PASSOS E AS DOZE TRADIÇÕES, p. 68"
2025-01-12,pt-BR,ACEITANDO NOSSAS CIRCUNSTÂNCIAS ATUAIS,"Nosso primeiro problema é aceitar nossas circunstâncias atuais como elas são, a nós mesmos como somos, e as pessoas ao nosso redor como elas são. Isto é adotar uma humildade realista sem a qual nenhum avanço genuíno pode sequer começar. Repetidas vezes, precisaremos retornar a esse ponto de partida nada lisonjeiro. Este é um exercício de aceitação que podemos praticar proveitosamente todos os dias de nossas vidas.","Quando estou tendo dificuldade em aceitar pessoas, lugares ou eventos, recorro a esta passagem e ela me alivia de muitos medos subjacentes em relação aos outros, ou a situações que a vida me apresenta. O pensamento me permite ser humano e não perfeito, e a recuperar minha paz de espírito.","Desde que evitemos veementemente transformar essas análises realistas dos fatos da vida em álibis irrealistas para a apatia ou o derrotismo, elas podem ser a base segura sobre a qual uma maior saúde emocional e, portanto, o progresso espiritual podem ser construídos."
2025-01-13,pt-BR,NÃO ACONTECE DA NOITE PARA O DIA,"Não estamos curados do alcoolismo. O que realmente temos é uma suspensão diária da pena, condicionada à manutenção de nossa condição espiritual.","A fantasia alcoólica mais comum parece ser: 'Se eu simplesmente não beber, tudo ficará bem.' Uma vez que a névoa se dissipou para mim, eu vi — pela primeira vez — a bagunça em que minha vida havia se tornado. Eu tinha problemas familiares, de trabalho, financeiros e legais; estava preso a velhas ideias religiosas; havia lados do meu caráter para os quais eu tendia a ficar cego porque eles poderiam facilmente ter me convencido de que eu não tinha esperança e me empurrado para a fuga novamente. O Grande Livro me guiou na resolução de todos os meus problemas. Mas não aconteceu da noite para o dia — e certamente não automaticamente — sem esforço da minha parte. Eu preciso sempre reconhecer a misericórdia e as bênçãos de Deus que brilham através de qualquer problema que eu tenha que enfrentar.","ALCOÓLICOS ANÔNIMOS, p. 85"
2025-01-14,pt-BR,SEM ARREPENDIMENTOS,Não nos arrependeremos do passado nem desejaremos fechar a porta para ele.,"Assim que fiquei sóbrio, comecei a ver como minha vida tinha sido desperdiçada e senti uma culpa avassaladora e sentimentos de arrependimento. O Quarto e o Quinto Passos do programa me ajudaram enormemente a curar esses arrependimentos perturbadores. Aprendi que meu egocentrismo e desonestidade provinham em grande parte da minha bebida e que eu bebia porque era alcoólatra. Agora vejo como até mesmo minhas experiências passadas mais desagradáveis podem se transformar em ouro porque, como um alcoólatra sóbrio, posso compartilhá-las para ajudar meus companheiros alcoólicos, especialmente os recém-chegados. Sóbrio há vários anos em A.A., não me arrependo mais do passado; sou simplesmente grato por estar consciente do amor de Deus e da ajuda que posso dar aos outros na Irmandade.","ALCOÓLICOS ANÔNIMOS, p. 83"
2025-01-15,pt-BR,UM RECURSO INTERIOR INSUSPEITO,"Com poucas exceções, nossos membros descobrem que exploraram um recurso interior insuspeito que eles atualmente identificam com sua própria concepção de um Poder superior a si mesmos.","Desde os meus primeiros dias em A.A., enquanto lutava pela sobriedade, encontrei esperança nestas palavras dos nossos fundadores. Muitas vezes refleti sobre a frase: 'eles exploraram um recurso interior insuspeito'. Como, perguntei a mim mesmo, posso encontrar o Poder dentro de mim, já que sou tão impotente? Com o tempo, como prometeram os fundadores, isso veio a mim: sempre tive a escolha entre o bem e o mal, entre o altruísmo e o egoísmo, entre a serenidade e o medo. Aquele Poder superior a mim mesmo é um dom original que não reconheci até alcançar a sobriedade diária vivendo os Doze Passos de A.A.","ALCOÓLICOS ANÔNIMOS, pp. 567-68"
2025-01-16,pt-BR,ATINGINDO O FUNDO DO POÇO,Por que toda essa insistência em que todo membro de A.A. deve atingir o fundo do poço primeiro? A resposta é que poucas pessoas tentarão sinceramente praticar o programa de A.A. a menos que tenham atingido o fundo do poço. Pois praticar os onze Passos restantes de A.A. significa a adoção de atitudes e ações que quase nenhum alcoólico que ainda bebe pode sonhar em tomar.,"Atingir o fundo do poço abriu minha mente e me tornei disposto a tentar algo diferente. O que tentei foi A.A. Minha nova vida na Irmandade foi um pouco como aprender a andar de bicicleta pela primeira vez: A.A. tornou-se minhas rodinhas de apoio e minha mão de suporte. Não é que eu quisesse tanto a ajuda na época; eu simplesmente não queria sentir aquela dor novamente. Meu desejo de evitar atingir o fundo do poço novamente era mais poderoso do que meu desejo de beber. No início, foi isso que me manteve sóbrio. Mas depois de um tempo, me vi trabalhando os Passos da melhor maneira possível. Logo percebi que minhas atitudes e ações estavam mudando — ainda que muito pouco. Um Dia de Cada Vez, tornei-me confortável comigo mesmo e com os outros, e minha dor começou a cicatrizar. Graças a Deus pelas rodinhas de apoio e pela mão de suporte que escolho chamar de Alcoólicos Anônimos.","OS DOZE PASSOS E AS DOZE TRADIÇÕES, p. 24"
